Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
23809,,"212 Mth Road, Ambattur",Dr Rabindran;S Health Care Center,"212 Mth Road, Ambattur",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23810,,"Old No.764, New No.402, Poonamallee High Road, (Chathurpujadoss Road), Kilpauk, Madras",Dr. A.G. Arumugam Nursing Home,"Old No.764, New No.402, Poonamallee High Road, (Chathurpujadoss Road), Kilpauk, Madras",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23811,,"142/9, Akshaya Building, Purasawalkam High Road, Kellys",Dr. Meera Nursing Home,"# 142/9, Akshaya Building , Purasawalkam High Road, Kellys",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044  43560937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23812,,"815, Poonamalle High Road",Halsted Surgical Clinic,"815, Poonamalle High Road",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23813,,"No.1, Millers Road, Kilpauk",Hitech Diagnostic Centre,"No.1, Millers Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23814,,"No : 814, Poonamallee High Rd., Kilpauk",Jayadev Polyclinic Hospital,"No : 814, Poonamallee High Rd., Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23815,,"214, Poonamallee High Road, Kilpauk",Jm Kerala Aayurveda Speciality Centre,"214, Poonamallee High Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23816,,"856,Poonamallee High Road, Kilpauk",Kensington Hospital,"856,Poonamallee High Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23817,,"64, Medavakam Tank Road Kilpauk",Km Hospitals,"64, Medavakam Tank Road Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23818,,"47/3, New Avadi Road,Near Kilpauk Post Office",Lifeline Rigid Hospital,"47/3, New Avadi Road,Near Kilpauk Post Office",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,4426449708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23819,,"No. 14, Bank Street Off New Avadi Road, Kilpauk",M.N.Orthopaedic Hospital,"No. 14, Bank Street Off New Avadi Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,4203  8435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23820,,New No.22(33) Harleys Road Air India Colony Kilpauk,Mahak Clinic,New No.22(33) Harleys Road Air India Colony Kilpauk,Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23821,,"Kilpauk Garden Road, Dilpauk",Marudhar Kesari Health Foundation Pvt Ltd,"Kilpauk Garden Road, Dilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23822,,"264/125, Kilpauk Garden Road, Kilpauk",Mots Hospital,"264/125, Kilpauk Garden Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23823,,"No. 814, Poonamallee High Road, Kilpauk",New Hope Medical Centre Pvt. Ltd,"No. 814, Poonamallee High Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044  26613966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23824,,"264/125, Kilpauk Garden Road,,Kilpauk.",Onelife Mots Hospital,"#264/125, Kilpauk Garden Road,Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,26449595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23825,,"753, Poonamallee High Road Kilpauk",Padma Clinic And Nursing Home,"753, Poonamallee High Road Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23826,,191 Poonamallee High Road,Precision Diagnostics,191 Poonamallee High Road,Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23827,,"866, Poonamallee High Road, Kilpauk",R.K. Gynaec And Maternity Hospital,"866, Poonamallee High Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23828,,"New.No.264 (Old No 829/2), Poonamallee High Road, Kilpauk",Ramarau Polyclinic,"New.No.264 (Old No 829/2), Poonamallee High Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23829,,"3, Mandapam Road, Kilpauk",Regina Nursing Home,"3, Mandapam Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23830,,"1, Prof. Subramaniam Street (Behind Ega Theatre), Kllpauk",Right Hospitals,"1, Prof. Subramaniam Street (Behind Ega Theatre) , Kllpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044  26430999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23831,,"752, Poonamallee High Road Kilpauk Kilpauk",Sarala Neurology Hospital And Research Centre,"752, Poonamallee High Road Kilpauk Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23832,,"No. 15, Ormes Road, Kilpauk,",Satish Eye Hospital,"No. 15, Ormes Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044  26613949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23833,,"/227-1 Opp K.T.C.Depot Thoothukudi Main Road, Tiruchendur-",Shanthi Hospital,"/227-1 Opp K.T.C.Depot Thoothukudi Main Road, Tiruchendur",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23834,,"32/1, (Old No.463/1),Kilpauk Garden Rd,Kilpauk.",Sree Sai Krishna Poly Clinic Hospital,"#32/1, (Old No.463/1),Kilpauk Garden Rd,Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,26449014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23835,,"Flat1/B,Ii Floor,OldNo191,New#297,Precision Diagnostics Complex,Periyar Evr Salai(P.H.Road)Kilpauk",Sundaram Cancer Centre,"Flat1/B,Ii Floor,Old#No191,New#297,Precision Diagnostics Complex,Periyar Evr Salai(P.H.Road)Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23836,,"136, Ponamallee High Road,",Sundaravadanan Nursing Home,"#136, Ponamallee High Road",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23837,,"Old 17, New 54, Harleys Road, Kilpauk,",Surgical Nursing Home,"Old 17, New 54, Harleys Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23838,,"18-A, Manickeswari Road, Kilpauk",The Arya Vaidya Chikitsalayam,"18-A, Manickeswari Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23839,,"No.34/72, Ormes Road, Kilpauk, Kilpauk",Tosh Hospitals Private Limited,"No.34/72, Ormes Road, Kilpauk, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,044  49034903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23840,,"No.62,Foxen Street Perambur",Bharani Nursing Home,"No.62,Foxen Street Perambur",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23841,,"77, Paper Mills Road, Perambur,",Dr. M. Mohamed Meeran Clinic,"77, Paper Mills Road, Perambur",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23842,,"10/84, Paddy Field Road, Perambur",Priya Nursing Home,"10/84, Paddy Field Road, Perambur",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23843,,"New No. 51, 18,Bunder Garden Street,Perambur,Opposite Lourdes Girls School",Sen Hospital,"New No. 51, 18,Bunder Garden Street,Perambur,Opposite Lourdes Girls School",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,"25586896, 26625157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23844,,"No 7, Bharathi Road Perambur",Sree Narayana Nursing Home,"No 7, Bharathi Road Perambur",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23845,,"Old No.89,& New No.106 Pate Road Perambur, (Near Perambur Railway Station), Patel Road",Srinivas Priya Hospital (P) Ltd,"Old No.89,& New No.106 Pate Road Perambur, (Near Perambur Railway Station), Patel Road",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,044  25512277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23846,,"New.No.32,(Old No.45), Bunder Garden,2Nd Street, Perambur",Subiksha Nursing Home,"New.No.32,(Old No.45), Bunder Garden,2Nd Street, Perambur",Tamil Nadu,Chennai,0,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23847,,"105, Pulianthope High Road,,Pulianthope.",Deepam Muthu Hospital,"#105, Pulianthope High Road,Pulianthope",Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23848,,"96, Perambur High Road, Near Jamalia Bus Stop Kamalia",Julian Nursing Home,"96, Perambur High Road, Near Jamalia Bus Stop Kamalia",Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23849,,"No 1, Binny Colony, Perambur Barracks Road, Behind Binny Cloth Show Room,",N.R.Medical Home Private Limited,"No 1, Binny Colony, Perambur Barracks Road, Behind Binny Cloth Show Room",Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,044  2669 2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23850,,"No-36, Brickkiln Road Near Abirani Theatre",Shri Balaji Hospital - Chennai,"No-36, Brickkiln Road Near Abirani Theatre",Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,044  26626111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23851,,"N0:532, Suriya Narayana Street, Royapuram, -",Sri Kumaran Multi Speciality Hospital,"N0:532, Suriya Narayana Street, Royapuram",Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,044  25960216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23852,,119 Sanjeevarayan Koil Street Old Washerman Pet,Vasantha Nursing Home,119 Sanjeevarayan Koil Street Old Washerman Pet,Tamil Nadu,Chennai,0,600012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23853,,"No.142, M.S. Koil Street, Royapuram,",Bhagwan Mahaveer Eye Hospital,"No.142, M.S. Koil Street, Royapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23854,,"Clinic:185,Portuguese Church Street",Dr.C.Satheesh,"Clinic:185,Portuguese Church Street",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23855,,"No-4, West Mada Church Street, Royapuram,",M V Hospital For Diabetes Pvt Ltd,"No-4, West Mada Church Street, Royapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23856,,"10, Arthoon Road Royapuram",Nichani Health Centre,"10, Arthoon Road Royapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23857,,"15, Thoppai Street, Royapuram,",Rathina Clinic,"# 15, Thoppai Street, Royapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23858,,"45, Westkalmandapamroadroyapuram",Sakthis Hospital,"45, Westkalmandapamroadroyapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,2596 4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23859,,"87/38, M.S. Koil Street, Royapuram",Subha Hospital,"87/38, M.S. Koil Street, Royapuram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23860,,"51/18, Adam Sahib Street, Pumping Station Road, Roya Puram",Sudha Hospital,"51/18, Adam Sahib Street, Pumping Station Road, Roya Puram",Tamil Nadu,Chennai,0,600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23861,,"New141Old#84 Peters Road Royapettah Chennai, Opp Adarsh School",Arasu Medicals,"New#141Old#84 Peters Road Royapettah Chennai , Opp Adarsh School",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23862,,"16,R.O.B Th Street",Dr.Bala Subramanian,"16,R.O.B Th Street",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23863,,"No.159 Lloyds Road, Siva .Ent Hospital Building",Santhigiri Ayurveda and Siddha Hospital,"No.159 Lloyds Road , Siva .Ent Hospital Building",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23864,,"241,Royupattak High Road,",Seethapathy Nursing Home,"241,Royupattak High Road",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23865,,No. 159(Old No.94) Lloyds Road Royapettah,Siva E.N.T. Hospital,No. 159(Old No.94) Lloyds Road Royapettah,Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,28113390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23866,,"46, Dr.Besant Road,",The Crescent Hospital,"46, Dr.Besant Road",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23867,,"194Old No 289), Lloyd's Road, Avvai Sanmugam Salai, Royapettah.",Vinayagam Laser Hospital,"194Old No 289), Lloyd's Road, Avvai Sanmugam Salai, Royapettah",Tamil Nadu,Chennai,0,600014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23868,,"11, Sastri 1St Cross Street, Kaveri Nagar Saidapet",Balakrishna Eye Hospital,"11, Sastri 1St Cross Street, Kaveri Nagar Saidapet",Tamil Nadu,Chennai,0,600015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23869,,"No 35 Karaneeswarar Koil Street,Saidapet",Chitra Maternity andSurgival Centre,"No 35 Karaneeswarar Koil Street,Saidapet",Tamil Nadu,Chennai,0,600015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23870,,"No.-9, Sadayappan Mudali Street",R Nandukumar Nursing Home,"No.-9, Sadayappan Mudali Street",Tamil Nadu,Chennai,0,600015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23871,,"391/392, Anna Salai, 1St Floor, Miv Complex., Opposite New Bus Stand, Saidapet",R.G. Stone Urological Research Institute,"391/392, Anna Salai, 1St Floor, Miv Complex., Opposite New Bus Stand, Saidapet",Tamil Nadu,Chennai,0,600015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23872,,"No: 9, Sadayappan Street Saidapet",Sri Balaji Ent And Maternity Clinic,"No: 9, Sadayappan Street Saidapet",Tamil Nadu,Chennai,0,600015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23873,,"1, Rajambhal St.Rameshwar Apartments T-Nagar",Add Value To Life,"1, Rajambhal St.Rameshwar Apartments T-Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23874,,"31,Dhandapani Street,T.Nagar",Anuradha Maternity Centre,"31,Dhandapani Street,T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23875,,No 56 Chetty Road T Nagar,Appolo Clinic,No 56 Chetty Road T Nagar,Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23876,,"No 20, G N Chetty Road T Nagar",B R Speciality Hospital and Research Center,"No 20 , G N Chetty Road T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23877,,"2, New Giri Road, T. Nagar,",Bagdi Nursing Home,"2, New Giri Road, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23878,,"No: 20, G N Chetty Road T Nagar",Bharathi Rajaa Specialty Hospital,"No: 20, G N Chetty Road T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23879,,"37, Myai Ranganthan Street, T. Nagar",Care Hospital,"37, Myai Ranganthan Street, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23880,,"Old No.24, New 73, Habibullah Road, T.Nagar,",Centre For Blood Disorder,"Old No.24, New 73, Habibullah Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23881,,"87,Burkit Road T-Nager",Dianostic Services,"87,Burkit Road T-Nager",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23882,,"N0-01, Crescent Park Street, T Nagar,",Dr Gurusekaran Hospital Pvt Ltd,"N0-01, Crescent Park Street, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23883,,"20/3-4 Gopalkrishna Street, Indra Devi Complex, (Near Rohini International), T Nagar",Dr Iravathams Laboratory,"20/3-4 Gopalkrishna Street, Indra Devi Complex , (Near Rohini International), T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23884,,"Old Number 21, New Number 3, Bharathi Nagar, 1St Street, 2Nd Lane, T. Nagar",Dr V Rathna Frabhu,"Old Number 21, New Number 3, Bharathi Nagar, 1St Street, 2Nd Lane, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23885,,"Old No.33,New No.10.Mannar Street,T.Nagar,",Dr Vas Dental Clinic,"Old No.33,New No.10.Mannar Street,T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23886,,"56,(Old No.105), G.N. Chetty Road, First Floor, T.Nagar,",Dr. Udhaya Rajas Dental Centre,"56,(Old No.105), G.N. Chetty Road, First Floor, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23887,,"No.10/11, Madley Road, T.Nagar",Dr.Duraiswami Eye Hospital,"No.10/11, Madley Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23888,,"Old No.65/1,New No 8A,Burkit Road,T.Nagar",Dr.Mehtas Clinic,"Old No.65/1,New No 8A,Burkit Road,T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23889,,"New No 11,Old No 4 Saarngapani Street T.Nagar","Dr.N.Nagajothi,M.D","New No 11,Old No 4 Saarngapani Street T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23890,,"1,Moosa Street,T.Nager,",Endocrine Diagnostic And Research Centre,"# 1,Moosa Street,T.Nager",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23891,,"8, Dr Nairs Road T Nagar",Ganga Nursing Home,"8, Dr Nairs Road T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23892,,"No.1 Crescent Park Street, T. Nagar",Gunasekaran Hospitals Pvt. Ltd.,"No.1 Crescent Park Street, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,044  24313884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23893,,"157,(Old No.55) Habibullah Road, T.Nagar",Health Speciality Centre,"157,(Old No.55) Habibullah Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23894,,"Mangesh Street, T Nagar",Kottakkal Arya Vaidya Sala,"Mangesh Street, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
